 Table of rho values created with FFT surfaces and polarized ray tracing as described in
   Mobley, C.D., 2015.  Polarized Reflectance and Transmittance Properties of Wind-blown Sea Surfaces,
   Applied Optics (in review)
 NOTE: This is a preliminary table for use during review of the above paper.
   These rho values are for fully developed seas, sun's direct rays parallel to the wind direction,
   a Rayleigh, single-scattering sky at 550 nm, and wind speeds of 0, 2, 4, 5, 6, 8, 10, 12, 14, and 15 m/s.
   The final table will be placed online once the above paper has been accepted for publication.
 rho is computed from the I components of the Stokes radiance vectors: rho = I(surface reflected)/I(sky) [nondimensional]
 Theta_v is the polar viewing angle measured from 0 at the nadir.
 Phi_v is the azimuthal viewing angle measured from the sun at phi_v = 0
 Looping order is
    wind speed
       sun zenith angle
          theta_v
             phi_v
 Data blocks of 118 theta_v, phi_v, rho(theta_v, phi_v) records on an (f7.1,f9.1,e15.4) format are separated by 
   records giving the wind speed and sun zenith angle on an (12x,f5.1,20x,f5.1) format.
-------------------------------
 Theta_v    Phi_v       rho
-------------------------------
WIND SPEED =  0.0; SUN ZENITH ANGLE =  0.0
    0.0      0.0    2.1120e-002
   10.0      0.0    2.1149e-002
   10.0     15.0    2.1142e-002
   10.0     30.0    2.1123e-002
   10.0     45.0    2.1098e-002
   10.0     60.0    2.1076e-002
   10.0     75.0    2.1066e-002
   10.0     90.0    2.1075e-002
   10.0    105.0    2.1106e-002
   10.0    120.0    2.1154e-002
   10.0    135.0    2.1213e-002
   10.0    150.0    2.1268e-002
   10.0    165.0    2.1308e-002
   10.0    180.0    2.1323e-002
   20.0      0.0    2.1343e-002
   20.0     15.0    2.1326e-002
   20.0     30.0    2.1281e-002
   20.0     45.0    2.1229e-002
   20.0     60.0    2.1197e-002
   20.0     75.0    2.1215e-002
   20.0     90.0    2.1307e-002
   20.0    105.0    2.1480e-002
   20.0    120.0    2.1722e-002
   20.0    135.0    2.1996e-002
   20.0    150.0    2.2250e-002
   20.0    165.0    2.2430e-002
   20.0    180.0    2.2495e-002
   30.0      0.0    2.2472e-002
   30.0     15.0    2.2449e-002
   30.0     30.0    2.2396e-002
   30.0     45.0    2.2355e-002
   30.0     60.0    2.2386e-002
   30.0     75.0    2.2556e-002
   30.0     90.0    2.2919e-002
   30.0    105.0    2.3491e-002
   30.0    120.0    2.4234e-002
   30.0    135.0    2.5048e-002
   30.0    150.0    2.5792e-002
   30.0    165.0    2.6315e-002
   30.0    180.0    2.6504e-002
   40.0      0.0    2.6798e-002
   40.0     15.0    2.6786e-002
   40.0     30.0    2.6776e-002
   40.0     45.0    2.6844e-002
   40.0     60.0    2.7103e-002
   40.0     75.0    2.7681e-002
   40.0     90.0    2.8676e-002
   40.0    105.0    3.0114e-002
   40.0    120.0    3.1900e-002
   40.0    135.0    3.3808e-002
   40.0    150.0    3.5524e-002
   40.0    165.0    3.6720e-002
   40.0    180.0    3.7148e-002
   50.0      0.0    4.0127e-002
   50.0     15.0    4.0156e-002
   50.0     30.0    4.0285e-002
   50.0     45.0    4.0644e-002
   50.0     60.0    4.1424e-002
   50.0     75.0    4.2838e-002
   50.0     90.0    4.5048e-002
