# hypstar_220241_radcal_L_200728.dat							
# L [mW m-2 nm-1 sr-1] = DN / inttime * 1000 * cal_coef							
# vnir_wl	vnir_cal_coef	vnir_u_sys(k=2)	vnir_u_rnd(k=2)	swir_wl	swir_cal_coef	swir_u_sys(k=2)	swir_u_rnd(k=2)
183.2	0	0	0	1012.9	0.000164426037421866	0	0
183.6	0	0	0	1016.4	0.000162300551061978	0	0
184.1	0	0	0	1020	0.000160589426336128	0	0
184.5	0	0	0	1023.5	0.000158744328779351	0	0
184.9	0	0	0	1027	0.000157854840757053	0	0
185.3	0	0	0	1030.5	0.000157039640007812	0	0
185.8	0	0	0	1034	0.000156011650061726	0	0
186.2	0	0	0	1037.5	0.000155009117942523	0	0
186.6	0	0	0	1040.9	0.000154191278609434	0	0
187.1	0	0	0	1044.4	0.000153417432916531	0	0
187.5	0	0	0	1047.9	0.000153133348744065	0	0
187.9	0	0	0	1051.4	0.000152882842592468	0	0
188.4	0	0	0	1054.9	0.000152106213842508	0	0
188.8	0	0	0	1058.3	0.000151363894062853	0	0
189.2	0	0	0	1061.8	0.000150496132104382	0	0
189.7	0	0	0	1065.3	0.000149460840101684	0	0
190.1	0	0	0	1068.7	0.000148474473595927	0	0
190.5	0	0	0	1072.2	0.000147396118186958	0	0
191	0	0	0	1075.7	0.000146132610321717	0	0
191.4	0	0	0	1079.1	0.000144624558921063	0	0
191.8	0	0	0	1082.6	0.000142830988375649	0	0
192.3	0	0	0	1086	0.000141093229966612	0	0
192.7	0	0	0	1089.5	0.000138988212952229	0	0
193.2	0	0	0	1092.9	0.000136956170950224	0	0
193.6	0	0	0	1096.3	0.000134805092567355	0	0
194	0	0	0	1099.8	0.000132581908011723	0	0
194.5	0	0	0	1103.2	0.000130683448159236	0	0
194.9	0	0	0	1106.6	0.000128764361325452	0	0
195.3	0	0	0	1110	0.000126981833720825	0	0
195.8	0	0	0	1113.5	0.000125367543733977	0	0
196.2	0	0	0	1116.9	0.000124229646232983	0	0
196.6	0	0	0	1120.3	0.000122961455317266	0	0
197.1	0	0	0	1123.7	0.000121885242958668	0	0
197.5	0	0	0	1127.1	0.000120438322073568	0	0
197.9	0	0	0	1130.5	0.000119705066320893	0	0
198.4	0	0	0	1133.9	0.000119184859088391	0	0
198.8	0	0	0	1137.3	0.000119175944888095	0	0
199.2	0	0	0	1140.7	0.000119487183820955	0	0
199.7	0	0	0	1144.1	0.000119825918388683	0	0
200.1	0	0	0	1147.5	0.000120435460042985	0	0
200.5	0	0	0	1150.8	0.000120674833683415	0	0
201	0	0	0	1154.2	0.000121045887853945	0	0
201.4	0	0	0	1157.6	0.000121266628766339	0	0
201.9	0	0	0	1161	0.000121293090280246	0	0
202.3	0	0	0	1164.3	0.000121579089703301	0	0
202.7	0	0	0	1167.7	0.00012181990821558	0	0
203.2	0	0	0	1171	0.00012186647194202	0	0
203.6	0	0	0	1174.4	0.000121558590752579	0	0
204	0	0	0	1177.8	0.000120868609005211	0	0
204.5	0	0	0	1181.1	0.000119993121893586	0	0
204.9	0	0	0	1184.4	0.000118802118946014	0	0
205.3	0	0	0	1187.8	0.000117550761360011	0	0
205.8	0	0	0	1191.1	0.000116193786896657	0	0
206.2	0	0	0	1194.5	0.000114700755369247	0	0
206.7	0	0	0	1197.8	0.0001134458199637	0	0
207.1	0	0	0	1201.1	0.000112247068211125	0	0
207.5	0	0	0	1204.4	0.000111160356302046	0	0
208	0	0	0	1207.8	0.000110432628962913	0	0
208.4	0	0	0	1211.1	0.000109979477143261	0	0
208.8	0	0	0	1214.4	0.000109720585125977	0	0
209.3	0	0	0	1217.7	0.00010956702547072	0	0
209.7	0	0	0	1221	0.000109548557612761	0	0
210.2	0	0	0	1224.3	0.000109112520357544	0	0
210.6	0	0	0	1227.6	0.000108590637437871	0	0
211	0	0	0	1230.9	0.000108148342056612	0	0
211.5	0	0	0	1234.2	0.000107705922477076	0	0
211.9	0	0	0	1237.5	0.00010734969601612	0	0
212.3	0	0	0	1240.7	0.000107041865970138	0	0
212.8	0	0	0	1244	0.000107050625780863	0	0
213.2	0	0	0	1247.3	0.000107055559708133	0	0
213.7	0	0	0	1250.6	0.000107289043786103	0	0
214.1	0	0	0	1253.8	0.000107203819753119	0	0
