# hypstar_220241_radcal_E_200729.dat							
# E [mW m-2 nm-1] = DN / inttime * 1000 * cal_coef							
# vnir_wl	vnir_cal_coef	vnir_u_sys(k=2)	vnir_u_rnd(k=2)	swir_wl	swir_cal_coef	swir_u_sys(k=2)	swir_u_rnd(k=2)
220.7	0	0	0	1302.3	0.00439908505302646	0	0
221.1	0	0	0	1305.5	0.00437533305119631	0	0
221.6	0	0	0	1308.7	0.00435344113535615	0	0
222	0	0	0	1311.9	0.00434168867214099	0	0
222.4	0	0	0	1315.1	0.00432416305492312	0	0
222.9	0	0	0	1318.3	0.00430826207832106	0	0
223.3	0	0	0	1321.5	0.00429395288584555	0	0
223.8	0	0	0	1324.6	0.00427009045759337	0	0
224.2	0	0	0	1327.8	0.00424114086253442	0	0
224.6	0	0	0	1331	0.0042061010440251	0	0
225.1	0	0	0	1334.2	0.00417440304957867	0	0
225.5	0	0	0	1337.3	0.00415323731355522	0	0
226	0	0	0	1340.5	0.00413453856761101	0	0
226.4	0	0	0	1343.6	0.00413619501511252	0	0
226.8	0	0	0	1346.8	0.00415360197315978	0	0
227.3	0	0	0	1349.9	0.00419978775937189	0	0
227.7	0	0	0	1353	0.00425412935105428	0	0
228.2	0	0	0	1356.2	0.00431293747707002	0	0
228.6	0	0	0	1359.3	0.00436817836149404	0	0
229	0	0	0	1362.4	0.00439337580526939	0	0
229.5	0	0	0	1365.6	0.00439835368148888	0	0
229.9	0	0	0	1368.7	0.00438297762232772	0	0
230.4	0	0	0	1371.8	0.00439001065677938	0	0
230.8	0	0	0	1374.9	0.00443377859070071	0	0
231.3	0	0	0	1378	0.00453905853274626	0	0
231.7	0	0	0	1381.1	0.0046340253908258	0	0
232.1	0	0	0	1384.2	0.00466592867884447	0	0
232.6	0	0	0	1387.3	0.0046284657082413	0	0
233	0	0	0	1390.4	0.00461387655677124	0	0
233.5	0	0	0	1393.5	0.00461458980771334	0	0
233.9	0	0	0	1396.5	0.00461889699432321	0	0
234.4	0	0	0	1399.6	0.00459674365874644	0	0
234.8	0	0	0	1402.7	0.00458577593099713	0	0
235.2	0	0	0	1405.8	0.00455315069703514	0	0
235.7	0	0	0	1408.8	0.0045270422563296	0	0
236.1	0	0	0	1411.9	0.00449713928908768	0	0
236.6	0	0	0	1414.9	0.00446982086851297	0	0
237	0	0	0	1418	0.00444517943990225	0	0
237.4	0	0	0	1421	0.00442421915600985	0	0
237.9	0	0	0	1424	0.00441026934801125	0	0
238.3	0	0	0	1427.1	0.00439426926257898	0	0
